,erm_test_risk,erm_train_risk,reg_L2_test_risk,reg_L2_train_risk,test_risk,train_risk
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.8/seed=0/width_size=600,0.0,0.0,0.0,0.0,0.0,0.0
alpha=100000.0/batch_size=100/data=nursery/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.7188271880149841,0.7061728835105896,0.7206790447235107,0.704321026802063,0.7203704118728638,0.70462965965271
alpha=100000.0/batch_size=100/data=nursery/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.7188271880149841,0.7061728835105896,0.7878086566925049,0.7695987820625305,0.7189815044403076,0.7060185670852661
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=1.0/seed=0/width_size=600,0.0,0.0,0.0,0.0,0.0,0.0
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=1.0/seed=0/width_size=600,0.0,0.0,0.0,0.0,0.0,0.0
alpha=100000.0/batch_size=100/data=nursery/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.7189815044403076,0.7060185670852661,0.7206790447235107,0.704321026802063,0.7188271880149841,0.7061728835105896
alpha=100000.0/batch_size=100/data=nursery/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.7188271880149841,0.7061728835105896,0.7191358208656311,0.7058642506599426,0.7192901372909546,0.7057099342346191
alpha=100000.0/batch_size=100/data=pendigits/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.0262008737772703,0.0105531299486756,0.021834060549736,0.0090975258499383,0.7241630554199219,0.7043304443359375
alpha=100000.0/batch_size=100/data=pendigits/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.0262008737772703,0.0105531299486756,0.0227438136935234,0.0103711793199181,0.0372998565435409,0.0212882105261087
alpha=100000.0/batch_size=100/data=nursery/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.8/seed=0/width_size=600,0.7188271880149841,0.7061728835105896,0.7206790447235107,0.704321026802063,0.7186728715896606,0.7063271999359131
alpha=100000.0/batch_size=100/data=nursery/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.8/seed=0/width_size=600,0.7188271880149841,0.7061728835105896,0.7878086566925049,0.7695987820625305,0.7212963104248047,0.703703761100769
alpha=100000.0/batch_size=100/data=pendigits/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.0262008737772703,0.0105531299486756,0.021834060549736,0.0090975258499383,0.0251091700047254,0.010917030274868
alpha=100000.0/batch_size=100/data=nursery/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=1.0/seed=0/width_size=600,0.7189815044403076,0.7060185670852661,0.7191358208656311,0.7058642506599426,0.7217593193054199,0.7032407522201538
alpha=100000.0/batch_size=100/data=pendigits/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.0262008737772703,0.0105531299486756,0.0227438136935234,0.0103711793199181,0.0216521117836236,0.0098253274336457
alpha=100000.0/batch_size=100/data=nursery/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=1.0/seed=0/width_size=600,0.7188271880149841,0.7061728835105896,0.7206790447235107,0.704321026802063,0.7188271880149841,0.7061728835105896
alpha=100000.0/batch_size=100/data=pendigits/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.0262008737772703,0.0105531299486756,0.021834060549736,0.0090975258499383,0.0232896655797958,0.008187772706151
alpha=100000.0/batch_size=100/data=pendigits/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.0262008737772703,0.0105531299486756,0.0263828244060277,0.0121906846761703,0.0221979618072509,0.0090975258499383
alpha=100000.0/batch_size=100/data=phishing/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.05518364533782,0.0457752868533134,0.0499366745352745,0.0417948253452777,0.0521078370511531,0.0483083054423332
alpha=100000.0/batch_size=100/data=phishing/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.05518364533782,0.0457752868533134,0.0591641068458557,0.0559073649346828,0.0550027154386043,0.0381762273609638
alpha=100000.0/batch_size=100/data=pendigits/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.8/seed=0/width_size=600,0.0221979618072509,0.0090975258499383,0.021834060549736,0.0090975258499383,0.0263828244060277,0.0114628821611404
